型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
H550×200,550,200,10,16,13,117.3,92.0,1.86,58200,2140,22.3,4.27,2120,214,是
H550×200,554,204,14,18,13,147.4,116,1.87,69900,2560,21.8,4.17,2520,251,
H550×250,554,255,14,18,13,165.8,130,2.08,83100,4990,22.4,5.49,3000,391,是
H550×250,562,257,16,22,13,197.4,155,2.10,102000,6240,22.7,5.62,3630,486,
H550×250,570,259,18,26,13,229.4,180,2.12,122000,7560,23.0,5.74,4260,583,
H550×300,544,300,11,15,13,148.0,116,2.24,76400,6760,22.7,6.75,2810,450,
H550×300,550,300,11,18,13,166.0,130,2.26,89800,8110,23.3,6.98,3270,540,是
H550×350,558,353,14,20,13,215.2,169,2.48,119000,14700,23.6,8.26,4280,831,是
H550×350,558,354,15,20,13,220.8,173,2.48,121000,14800,23.4,8.19,4330,836,
H550×400,562,401,14,22,22,253.1,199,2.66,148000,23700,24.1,9.67,5250,1180,是
H550×400,574,403,16,28,22,312.7,245,2.69,190000,30600,24.6,9.89,6600,1520,
H550×400,594,409,22,38,22,429.0,337,2.74,269000,43400,25.0,10.1,9050,2120,
H550×450,550,465,15,25,22,311.7,245,2.89,178000,41900,23.9,11.6,6490,1800,是
H550×450,570,470,20,35,22,433.2,340,2.94,259000,60600,24.5,11.8,9090,2580,
H550×450,580,476,26,40,22,515.0,404,2.97,308000,72000,24.4,11.8,10600,3020,
H600×200,596,199,10,15,13,117.8,92.4,1.95,66600,1980,23.8,4.09,2240,199,
H600×200,600,200,11,17,13,131.7,103,1.96,75600,2270,24.0,4.15,2520,227,是
H600×200,606,201,12,20,13,149.8,118,1.97,88300,2720,24.3,4.25,2910,270,
H600×200,616,204,15,25,13,188.4,148,2.00,113000,3550,24.5,4.34,3670,349,
H600×200,622,205,16,28,13,206.8,162,2.01,127000,4040,24.7,4.42,4070,394,
H600×250,592,248,10,18,13,146.3,115,2.13,89000,4580,24.7,5.60,3010,369,
H600×250,600,250,12,22,13,178.2,140,2.15,110000,5740,24.9,5.68,3670,459,是
H600×250,606,252,14,25,13,205.3,161,2.17,128000,6680,24.9,5.71,4210,530,
H600×300,582,300,12,17,13,169.2,133,2.32,98900,7660,24.2,6.72,3400,511,
H600×300,588,300,12,20,13,187.2,147,2.33,114000,9010,24.7,6.93,3890,601,是
H600×300,594,302,14,23,13,217.1,170,2.35,134000,10600,24.8,6.97,4500,700,
H600×300,600,304,16,26,13,247.2,194,2.36,153000,12200,24.9,7.02,5110,802,
H600×350,596,352,15,19,18,220.2,173,2.54,135000,13800,24.8,7.92,4540,786,是
H600×350,606,352,15,24,18,255.4,200,2.56,167000,17500,25.6,8.27,5510,992,
H600×450,600,450,20,25,22,339.2,266,2.92,217000,38000,25.3,10.6,7230,1690,是
H600×450,630,456,26,40,22,512.0,402,2.99,357000,63300,26.4,11.1,11300,2780,
H600×450,646,460,30,48,22,610.8,479,3.03,440000,78000,26.8,11.3,13600,3390,
