型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
HK350×350,368,373,15,23.9,15,228.3,179,2.17,57400,20700,15.9,9.52,3120,1110,
HK350×350,372,374,16.4,26.2,15,250.3,196,2.18,63600,22900,15.9,9.56,3420,1220,
HK350×350,374.6,374.7,16.5,27,15.2,257.2,202,2.19,66300,23700,16.1,9.60,3540,1260,
HK400×150,398,141.8,6.4,8.6,10.2,49.65,39.0,1.33,12500,410,15.9,2.87,629,57.8,
HK400×150,399,140,6.4,8.8,10,49.91,39.2,1.33,12600,404,15.9,2.84,634,57.7,
HK400×150,400,180,8.6,13.5,21,84.46,66.3,1.47,23100,1320,16.5,3.95,1160,146,
HK400×150,403,140,7,11.2,10,58.86,46.2,1.33,15600,514,16.3,2.95,772,73.4,
HK400×150,403.2,142.2,6.8,11.2,10.2,58.64,46.0,1.34,15700,538,16.4,3.03,778,75.7,
HK400×250,415,260,10,16.9,10,126.9,99.6,1.83,39800,4950,17.7,6.25,1920,381,
HK400×250,420,261,11.6,19.3,10,145.8,114,1.84,46100,5720,17.8,6.27,2200,439,
HK400×250,425,263,13.3,22.2,10,168.2,132,1.86,53800,6740,17.9,6.33,2530,512,
HK400×250,431,265,14.9,25,10,190.1,149,1.88,61800,7770,18.0,6.39,2870,586,
HK400×300,380,316,26,40,13,332.3,261,1.95,79600,21100,15.5,7.97,4190,1330,
HK400×300,390,300,11,19,27,159.0,125,1.91,45100,8560,16.8,7.34,2310,571,
HK400×300,395,308,21,40,27,318.8,250,1.93,84900,19500,16.3,7.83,4300,1270,
HK400×300,400,300,13.5,24,27,197.8,155,1.93,57700,10800,17.1,7.40,2880,721,
HK400×300,432,307,21,40,27,325.8,256,2.00,104000,19300,17.9,7.70,4820,1260,
HK400×400,348,390,14,14,15,155.9,122,2.20,34800,13900,14.9,9.42,2000,710,
HK400×400,352,392,16,16,15,178.6,140,2.21,40300,16100,15.0,9.49,2290,820,
HK400×400,356,394,18,18,15,201.4,158,2.23,45900,18400,15.1,9.55,2580,932,
HK400×400,360,396,20,20,15,224.3,176,2.24,51800,20700,15.2,9.61,2880,1050,
HK400×400,364,398,22,22,15,247.5,194,2.25,57800,23100,15.3,9.67,3170,1160,
HK400×400,368,391,15,24,15,237.6,187,2.24,60200,23900,15.9,10.0,3270,1220,
HK400×400,368,400,24,24,15,270.7,212,2.26,63900,25600,15.4,9.73,3470,1280,
HK400×400,372,402,26,26,15,294.2,231,2.27,70300,28200,15.5,9.79,3780,1400,
HK400×400,375,394,17.5,27.5,15,274.6,216,2.27,70800,28100,16.1,10.1,3780,1420,
HK400×400,381,394,18,30.5,15,299.9,235,2.28,79400,31100,16.3,10.2,4170,1580,
HK400×400,387,395,21,33.5,15,333.8,262,2.29,89100,34400,16.3,10.2,4610,1740,
HK400×400,394,397,22,37,15,366.1,287,2.31,100000,38600,16.6,10.3,5100,1950,
HK400×400,400,400,24,40,15,398.7,313,2.33,111000,42700,16.7,10.3,5560,2140,
HK400×400,400,402,26,40,15,406.7,319,2.33,112000,43400,16.6,10.3,5610,2160,
HK400×400,406,403,26.5,43,15,433.3,340,2.35,122000,47000,16.8,10.4,6030,2330,
HK400×400,419,405,30.5,49.5,15,500.5,393,2.37,146000,54900,17.1,10.5,6990,2710,
HK400×400,436,412,36,58,15,595.1,467,2.42,182000,67700,17.5,10.7,8370,3290,
HK400×400,446,414,39,63,15,648.4,509,2.44,204000,74700,17.7,10.7,9150,3610,
HK400×400,456,416,42,68,15,702.1,551,2.47,227000,81800,18.0,10.8,9960,3930,
